text,primary_label,all_labels,num_labels,all_raw_scores,top_label,top_score,final_label
Should be committed and passionate about the fields they want to start  and have vision on their business.,Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Mindset and Motivation', 'Clarity of Business and Self-Understanding']",3.0,"{'Mindset and Motivation': 0.6788071716825167, 'Clarity of Business and Self-Understanding': 0.7251483897368113, 'Practical Preparation and Readiness': 0.2058706066260735, 'Technology and Platform Requirements': 0.3039411250501871, 'Business Information and Supporting Documents': 0.3119230419397354, 'No Preparation Needed': 0.0004264326222861807, 'Time Availability and Commitment': 0.20073188841342926, 'Product Presentation and Portfolio Materials': 0.49400512129068375, 'Contact Details and Communication Channels': 0.48426517844200134, 'Active Listening and Openness to Feedback': 0.02637568007533749, 'Goal Clarity and Direction Setting': 0.8280364076296488, 'Understanding Mentor Background': 0.003005759402488669, 'Social Media and Digital Presence': 0.21027766137073436}",,,
"1. Tener perfiles habilitados en las principales redes sociales. (Instagram, Facebook, Twitter)
2. Tener al menos entre 8 y 10 horas libres a la semana para hacer proyectos y pequeñas tareas que le serán asignadas para aprender y mejorar en el campo. 
3. Haber identificado el tipo de marcas, comercios o productos con los que le interesa trabajar.",Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Social Media and Digital Presence']",2.0,"{'Mindset and Motivation': 0.3514755740761757, 'Clarity of Business and Self-Understanding': 0.21550009648005167, 'Practical Preparation and Readiness': 0.2991607869043946, 'Technology and Platform Requirements': 0.5405044704675674, 'Business Information and Supporting Documents': 0.5360302527745565, 'No Preparation Needed': 0.0005063779511450169, 'Time Availability and Commitment': 0.4101948067545891, 'Product Presentation and Portfolio Materials': 0.4922413130601247, 'Contact Details and Communication Channels': 0.5613499283790588, 'Active Listening and Openness to Feedback': 0.5394682188828787, 'Goal Clarity and Direction Setting': 0.6224554578463236, 'Understanding Mentor Background': 0.05900534025082985, 'Social Media and Digital Presence': 0.6920199990272522}",,,
mempunyai semangat untuk berusaha,Mindset and Motivation,"['Mindset and Motivation', 'Product Presentation and Portfolio Materials', 'Contact Details and Communication Channels']",3.0,"{'Mindset and Motivation': 0.9794479608535767, 'Clarity of Business and Self-Understanding': 0.47546182076136273, 'Practical Preparation and Readiness': 0.6717295547326406, 'Technology and Platform Requirements': 0.5315805375576019, 'Business Information and Supporting Documents': 0.5523618757724762, 'No Preparation Needed': 0.29055235783259076, 'Time Availability and Commitment': 0.5864347269137701, 'Product Presentation and Portfolio Materials': 0.7754438519477844, 'Contact Details and Communication Channels': 0.8650726874669393, 'Active Listening and Openness to Feedback': 0.8898937503496805, 'Goal Clarity and Direction Setting': 0.9092414577802023, 'Understanding Mentor Background': 0.5569425622622172, 'Social Media and Digital Presence': 0.8302096128463745}",,,
"Lápiz y papel para realizar anotaciones, en caso que lo necesite; asi como tambien que tenga una lista de los posibles temas y preguntas que pueda tener acerca de su emprendimiento.",Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Active Listening and Openness to Feedback']",2.0,"{'Mindset and Motivation': 0.19342836586292833, 'Clarity of Business and Self-Understanding': 0.4497876645376285, 'Practical Preparation and Readiness': 0.7682110369205475, 'Technology and Platform Requirements': 0.18500567136410004, 'Business Information and Supporting Documents': 0.3496761793891589, 'No Preparation Needed': 0.0001968797223526053, 'Time Availability and Commitment': 0.05795860725144545, 'Product Presentation and Portfolio Materials': 0.06495174307686587, 'Contact Details and Communication Channels': 0.04161454263764123, 'Active Listening and Openness to Feedback': 0.7083556453386942, 'Goal Clarity and Direction Setting': 0.22991393444438776, 'Understanding Mentor Background': 0.0012151226546848193, 'Social Media and Digital Presence': 0.15825464002167186}",,,
"Modal, mental, keyakinan terhadap apa yang kita inginkan, lokasi usaha yang sesuai dengan pangsa pasar.",Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.7543070018291473, 'Clarity of Business and Self-Understanding': 0.6720968323449293, 'Practical Preparation and Readiness': 0.1958621001491944, 'Technology and Platform Requirements': 0.0009787183177346985, 'Business Information and Supporting Documents': 0.2864045083212356, 'No Preparation Needed': 8.04771237502185e-05, 'Time Availability and Commitment': 0.0032652587397024035, 'Product Presentation and Portfolio Materials': 0.027839782026906807, 'Contact Details and Communication Channels': 0.012887739731619755, 'Active Listening and Openness to Feedback': 0.030850487916419905, 'Goal Clarity and Direction Setting': 0.7079087942838669, 'Understanding Mentor Background': 0.0019853320797362053, 'Social Media and Digital Presence': 0.01563862812084456}",,,
"Please answer the following questions: 
Description of current stage of business. Planning, execution, expansion? 
What are your main priorities? 
What are the main challenges you are facing now?",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.026512787211686373, 'Clarity of Business and Self-Understanding': 0.9452653129895529, 'Practical Preparation and Readiness': 0.029382067422072094, 'Technology and Platform Requirements': 0.007529559273583193, 'Business Information and Supporting Documents': 0.7165551582972208, 'No Preparation Needed': 0.00035554711939767003, 'Time Availability and Commitment': 0.034643674618564546, 'Product Presentation and Portfolio Materials': 0.02801162749528885, 'Contact Details and Communication Channels': 0.013515433141340813, 'Active Listening and Openness to Feedback': 0.6541048089663187, 'Goal Clarity and Direction Setting': 0.3249984309077263, 'Understanding Mentor Background': 0.004587576288031414, 'Social Media and Digital Presence': 0.18034001098324856}",,,
adf,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Technology and Platform Requirements']",3.0,"{'Mindset and Motivation': 0.8625209530194601, 'Clarity of Business and Self-Understanding': 0.6527461012204488, 'Practical Preparation and Readiness': 0.8501163323720297, 'Technology and Platform Requirements': 0.7502727309862772, 'Business Information and Supporting Documents': 0.7710650165875753, 'No Preparation Needed': 0.6982433895270029, 'Time Availability and Commitment': 0.7821112871170044, 'Product Presentation and Portfolio Materials': 0.7777626117070516, 'Contact Details and Communication Channels': 0.8621930877367655, 'Active Listening and Openness to Feedback': 0.8958812753359476, 'Goal Clarity and Direction Setting': 0.9248695770899454, 'Understanding Mentor Background': 0.7621680498123169, 'Social Media and Digital Presence': 0.7482932209968567}",,,
"الاسم 
العمر 
المجال الذى يعمل به او يفكر ان يفتح نشاط ريادى به 
الخلفية التعليمية 
معلومات حول المشروع الريادى الخاص به و هل بدء خطوات فعلية فيه إم مازال فى مرحلة الفكرة 
ابرز الأسئلة التى يحتاج إلى إجابات عنها",UNKNOWN,['UNKNOWN'],1.0,"{'Mindset and Motivation': 0.42958851096530754, 'Clarity of Business and Self-Understanding': 0.2553096100067099, 'Practical Preparation and Readiness': 0.007449915593800445, 'Technology and Platform Requirements': 0.0058141826108718915, 'Business Information and Supporting Documents': 0.08785126715277632, 'No Preparation Needed': 0.00011290060986842339, 'Time Availability and Commitment': 0.13566272581617037, 'Product Presentation and Portfolio Materials': 0.04145526187494397, 'Contact Details and Communication Channels': 0.17938438740869364, 'Active Listening and Openness to Feedback': 0.12272765782351296, 'Goal Clarity and Direction Setting': 0.05705732976396879, 'Understanding Mentor Background': 0.00577133862922589, 'Social Media and Digital Presence': 0.06913948602353533}",,,
Know your goals,Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.9280267755190531, 'Clarity of Business and Self-Understanding': 0.889906624952952, 'Practical Preparation and Readiness': 0.68806258837382, 'Technology and Platform Requirements': 0.48073789353171986, 'Business Information and Supporting Documents': 0.5502980351448059, 'No Preparation Needed': 0.09474629039565723, 'Time Availability and Commitment': 0.6670152544975281, 'Product Presentation and Portfolio Materials': 0.6736616690953573, 'Contact Details and Communication Channels': 0.6510624885559082, 'Active Listening and Openness to Feedback': 0.5848848124345144, 'Goal Clarity and Direction Setting': 0.9715690612792969, 'Understanding Mentor Background': 0.23603451500336328, 'Social Media and Digital Presence': 0.7472383479277293}",,,
Tener claro su idea o modelo de negocio y los objetivos que busca cumplir con la mentoría,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",2.0,"{'Mindset and Motivation': 0.16952296377470097, 'Clarity of Business and Self-Understanding': 0.9242584109306335, 'Practical Preparation and Readiness': 0.10959349293261766, 'Technology and Platform Requirements': 0.014107556004698077, 'Business Information and Supporting Documents': 0.40257441624999046, 'No Preparation Needed': 0.000596872433864822, 'Time Availability and Commitment': 0.13336345056692758, 'Product Presentation and Portfolio Materials': 0.19665021573503813, 'Contact Details and Communication Channels': 0.08199232816696167, 'Active Listening and Openness to Feedback': 0.4302256802717845, 'Goal Clarity and Direction Setting': 0.9986089070638021, 'Understanding Mentor Background': 0.0012124108422237139, 'Social Media and Digital Presence': 0.1710667914400498}",,,
